elephant_id,day_of_season,hour_of_day,longitude_km,latitude_km,ambient_temp_c,true_region
EL-849,60,2,41.77,37.68,28.7,Secondary Waterhole
EL-891,38,10,40.117,37.991,29.4,Migration Corridor
EL-959,65,6,37.726,34.567,18.5,Migration Corridor
EL-120,9,9,7.609,40.105,30.5,Main Waterhole
EL-390,14,17,25.096,7.965,31.7,Feeding Ground
EL-893,88,22,41.59,37.733,18.3,Secondary Waterhole
EL-333,61,19,44.497,11.623,18.3,Home Range
EL-635,25,7,32.485,30.24,21.0,Migration Corridor
EL-942,16,22,32.324,6.877,29.5,Stray/Noise
EL-206,74,0,35.407,32.482,39.5,Migration Corridor
EL-720,88,10,39.066,35.908,26.5,Migration Corridor
EL-423,50,15,23.346,9.62,32.1,Feeding Ground
EL-251,48,2,42.31,37.944,26.1,Secondary Waterhole
EL-995,72,6,25.638,7.912,32.6,Feeding Ground
EL-710,57,6,40.826,36.579,27.5,Migration Corridor
EL-476,56,1,37.036,33.833,31.4,Migration Corridor
EL-277,29,16,40.902,38.573,26.7,Secondary Waterhole
EL-920,9,14,43.098,16.074,30.9,Home Range
EL-447,79,7,43.492,13.203,28.7,Home Range
EL-522,56,10,45.804,13.557,21.8,Home Range
EL-847,29,17,10.362,39.014,26.8,Migration Corridor
EL-878,19,9,29.93,29.309,36.5,Migration Corridor
EL-867,5,6,8.372,40.195,22.6,Main Waterhole
EL-480,9,8,7.819,40.161,29.1,Main Waterhole
EL-909,43,10,27.047,8.997,30.8,Feeding Ground
EL-967,87,12,15.278,32.26,23.3,Migration Corridor
EL-839,17,3,24.617,8.691,26.7,Feeding Ground
EL-139,76,20,38.828,35.179,30.4,Migration Corridor
EL-205,80,11,41.416,38.947,31.6,Secondary Waterhole
EL-517,41,23,8.347,40.194,34.2,Main Waterhole
EL-529,60,2,8.18,40.306,27.1,Main Waterhole
EL-542,84,20,41.746,37.022,37.4,Secondary Waterhole
EL-939,47,20,41.498,37.87,25.5,Secondary Waterhole
EL-925,44,16,42.0,37.567,20.5,Secondary Waterhole
EL-388,86,20,41.607,38.502,28.8,Secondary Waterhole
EL-348,3,7,8.375,39.873,24.7,Main Waterhole
EL-421,15,18,8.039,39.875,24.9,Main Waterhole
EL-890,6,14,25.778,9.053,19.9,Feeding Ground
EL-786,56,6,43.773,9.599,24.9,Home Range
EL-684,72,10,15.446,33.656,36.7,Migration Corridor
EL-674,43,20,23.474,7.838,30.8,Feeding Ground
EL-731,57,11,9.058,39.645,24.2,Main Waterhole
EL-957,89,1,17.754,31.981,25.2,Migration Corridor
EL-913,9,20,41.836,37.414,25.0,Secondary Waterhole
EL-428,56,19,46.717,13.157,22.9,Home Range
EL-985,73,22,8.386,40.312,23.5,Main Waterhole
EL-852,86,21,41.565,8.504,28.9,Home Range
EL-975,62,9,44.721,10.142,22.8,Home Range
EL-894,70,17,20.254,29.46,36.0,Migration Corridor
EL-135,11,23,24.015,8.801,32.5,Feeding Ground
EL-141,2,23,8.035,39.672,16.6,Main Waterhole
EL-662,4,3,42.667,10.575,19.6,Home Range
EL-545,79,21,25.011,8.021,30.8,Feeding Ground
EL-202,16,16,7.764,40.541,24.3,Main Waterhole
EL-489,16,13,44.657,11.511,29.1,Home Range
EL-380,79,3,8.302,39.828,25.8,Main Waterhole
EL-513,31,0,42.511,30.676,34.8,Stray/Noise
EL-760,62,8,8.29,39.432,29.1,Main Waterhole
EL-245,44,20,44.329,16.531,25.9,Home Range
EL-704,67,18,7.619,39.725,26.6,Main Waterhole
EL-785,36,20,1.719,29.538,23.1,Stray/Noise
EL-490,1,2,6.61,32.188,26.5,Stray/Noise
EL-361,66,22,45.105,14.888,22.3,Home Range
EL-781,13,19,42.154,37.397,27.6,Secondary Waterhole
EL-437,59,13,20.546,30.099,30.1,Migration Corridor
EL-363,9,7,7.712,39.891,26.4,Main Waterhole
EL-447,44,4,41.842,37.304,25.3,Secondary Waterhole
EL-970,52,17,25.973,8.257,28.6,Feeding Ground
EL-805,2,0,39.544,35.646,35.1,Migration Corridor
EL-470,6,1,37.515,33.554,23.3,Migration Corridor
EL-287,68,21,25.175,9.268,34.1,Feeding Ground
EL-179,89,3,8.322,39.992,24.2,Main Waterhole
EL-981,68,15,22.414,27.678,19.9,Migration Corridor
EL-845,66,9,23.838,8.335,24.1,Feeding Ground
EL-948,62,22,42.105,38.743,25.5,Secondary Waterhole
EL-141,82,0,24.561,29.388,19.5,Migration Corridor
EL-909,4,21,13.358,34.955,30.3,Migration Corridor
EL-876,58,14,17.525,29.394,26.5,Stray/Noise
EL-738,61,9,8.632,39.67,25.4,Main Waterhole
EL-148,20,14,7.212,39.81,19.9,Main Waterhole
EL-682,36,17,45.286,12.444,35.7,Home Range
EL-781,23,5,8.128,39.553,29.1,Main Waterhole
EL-815,4,0,45.091,12.031,28.0,Home Range
EL-413,72,17,25.359,8.877,23.5,Feeding Ground
EL-853,49,9,7.268,39.719,21.3,Main Waterhole
EL-218,50,23,41.74,38.515,27.0,Secondary Waterhole
EL-694,44,14,41.105,38.201,43.2,Secondary Waterhole
EL-732,48,15,29.2,29.817,31.5,Migration Corridor
EL-281,13,3,27.652,29.031,16.6,Migration Corridor
EL-327,29,3,24.499,9.562,13.9,Feeding Ground
EL-431,39,20,15.799,34.032,19.2,Migration Corridor
EL-852,22,11,44.307,9.508,34.7,Home Range
EL-487,40,20,38.662,35.174,33.2,Migration Corridor
EL-230,29,0,8.578,40.225,33.2,Migration Corridor
EL-845,60,10,8.131,39.712,22.6,Main Waterhole
EL-526,8,0,42.383,38.702,32.4,Secondary Waterhole
EL-719,86,5,26.2,8.738,21.5,Feeding Ground
EL-461,69,21,24.577,6.891,24.7,Feeding Ground
EL-938,24,7,24.344,6.865,27.9,Feeding Ground
EL-996,67,7,8.139,39.803,29.7,Main Waterhole
EL-371,67,7,41.496,37.084,23.1,Secondary Waterhole
EL-744,7,23,23.909,9.579,19.1,Feeding Ground
EL-604,72,16,25.139,7.885,33.3,Feeding Ground
EL-820,58,3,45.499,13.916,19.5,Home Range
EL-556,48,16,28.771,29.785,31.9,Migration Corridor
EL-749,45,8,25.815,8.374,20.1,Feeding Ground
EL-814,13,11,41.618,38.652,18.1,Secondary Waterhole
EL-294,13,13,45.145,9.913,28.0,Home Range
EL-736,56,22,41.642,38.101,27.3,Secondary Waterhole
EL-552,19,17,41.172,37.904,20.7,Secondary Waterhole
EL-267,53,1,10.838,37.836,10.4,Migration Corridor
EL-245,76,5,7.877,40.256,23.2,Main Waterhole
EL-557,3,20,41.768,37.693,30.6,Secondary Waterhole
EL-197,2,0,7.74,39.016,24.1,Main Waterhole
EL-271,29,20,43.319,12.381,23.4,Home Range
EL-234,83,23,9.509,38.187,25.9,Migration Corridor
EL-469,34,17,8.535,40.398,28.2,Main Waterhole
EL-785,42,7,8.59,39.974,23.7,Main Waterhole
EL-232,63,20,8.206,40.015,36.7,Main Waterhole
EL-131,21,22,14.175,34.223,15.6,Migration Corridor
EL-533,64,17,31.723,30.761,21.2,Migration Corridor
EL-759,13,3,8.728,39.829,29.1,Main Waterhole
EL-970,9,9,7.981,40.417,23.5,Main Waterhole
EL-742,62,23,41.134,38.859,25.4,Secondary Waterhole
EL-944,66,2,22.98,7.575,26.3,Feeding Ground
EL-736,55,4,43.085,10.182,30.9,Home Range
EL-235,65,10,25.372,7.906,33.2,Feeding Ground
EL-415,58,1,24.812,29.072,36.3,Migration Corridor
EL-524,28,20,41.643,38.47,21.6,Secondary Waterhole
EL-681,25,10,8.015,39.617,25.1,Main Waterhole
EL-987,49,22,25.955,8.755,28.6,Feeding Ground
EL-381,3,1,23.639,9.172,23.7,Feeding Ground
EL-831,6,19,42.2,38.552,39.9,Secondary Waterhole
EL-556,42,19,24.488,7.627,29.2,Feeding Ground
EL-798,29,13,42.399,37.867,27.2,Secondary Waterhole
EL-560,41,0,41.826,37.717,29.9,Secondary Waterhole
EL-139,63,16,20.279,19.815,29.3,Stray/Noise
EL-558,25,16,42.778,38.599,25.6,Secondary Waterhole
EL-332,54,10,42.175,38.365,29.7,Migration Corridor
EL-407,29,4,37.246,33.512,26.6,Migration Corridor
EL-785,7,11,33.723,30.597,23.4,Migration Corridor
EL-330,36,17,26.301,29.395,19.9,Migration Corridor
EL-265,70,22,7.856,39.691,31.3,Main Waterhole
EL-189,82,22,7.698,40.108,25.4,Main Waterhole
EL-127,84,14,7.545,39.692,24.1,Main Waterhole
EL-776,26,15,18.978,30.122,20.1,Migration Corridor
EL-859,18,11,26.838,7.664,24.3,Feeding Ground
EL-114,38,9,41.608,37.673,24.4,Secondary Waterhole
EL-589,31,15,45.521,15.351,27.6,Home Range
EL-102,17,17,36.504,33.255,28.0,Migration Corridor
EL-570,33,8,42.103,38.278,27.1,Secondary Waterhole
EL-372,13,23,42.435,38.588,30.3,Secondary Waterhole
EL-243,78,15,19.519,29.567,30.6,Migration Corridor
EL-986,78,21,24.775,7.546,24.5,Feeding Ground
EL-655,65,11,24.574,9.301,22.9,Feeding Ground
EL-102,29,11,47.084,12.386,20.6,Home Range
EL-670,77,12,8.167,39.682,27.7,Main Waterhole
EL-183,35,21,42.655,38.874,24.9,Secondary Waterhole
EL-293,14,0,26.216,7.29,20.5,Feeding Ground
EL-240,63,13,46.642,20.822,34.5,Stray/Noise
EL-931,31,0,7.911,39.544,23.7,Main Waterhole
EL-146,90,18,44.542,12.289,27.0,Home Range
EL-384,37,6,42.555,38.088,30.1,Secondary Waterhole
EL-820,16,7,45.799,11.625,24.7,Home Range
EL-943,77,23,19.965,31.855,30.9,Migration Corridor
EL-886,16,19,41.748,37.872,34.4,Secondary Waterhole
EL-522,73,4,23.729,29.708,26.3,Migration Corridor
EL-869,24,16,7.786,40.375,32.1,Main Waterhole
EL-752,41,23,41.362,38.49,20.5,Secondary Waterhole
EL-997,49,14,24.837,6.224,29.2,Feeding Ground
EL-793,5,14,7.979,39.599,23.9,Main Waterhole
EL-350,31,8,8.334,40.03,22.2,Main Waterhole
EL-487,35,15,24.88,8.174,35.4,Feeding Ground
EL-751,74,15,7.666,39.813,25.5,Main Waterhole
EL-699,73,19,41.739,37.941,33.8,Secondary Waterhole
EL-990,12,7,41.79,38.447,28.5,Secondary Waterhole
EL-419,54,19,26.968,30.111,32.0,Migration Corridor
EL-993,53,21,7.853,39.718,20.5,Main Waterhole
EL-392,86,13,8.489,39.873,24.6,Main Waterhole
EL-730,6,7,10.725,36.828,16.0,Migration Corridor
EL-854,43,23,8.273,40.622,35.1,Main Waterhole
EL-531,80,7,1.145,6.642,28.7,Stray/Noise
EL-334,74,23,8.194,39.893,20.1,Main Waterhole
EL-667,50,12,26.054,8.228,25.7,Feeding Ground
EL-641,61,6,7.966,40.217,28.3,Main Waterhole
EL-568,13,22,24.285,8.735,16.8,Feeding Ground
EL-646,27,4,14.96,33.66,29.3,Migration Corridor
EL-971,62,5,24.783,7.96,19.1,Feeding Ground
EL-890,21,12,48.148,14.771,31.6,Home Range
EL-627,14,10,42.582,39.019,33.1,Secondary Waterhole
EL-736,70,0,41.423,37.791,25.0,Secondary Waterhole
EL-534,1,2,4.171,14.376,18.1,Stray/Noise
EL-908,66,5,44.128,21.407,25.8,Stray/Noise
EL-654,29,1,25.987,8.089,33.6,Feeding Ground
EL-249,31,22,8.458,39.766,38.4,Migration Corridor
EL-213,54,20,24.872,9.639,35.3,Feeding Ground
EL-360,66,18,20.829,31.171,22.8,Migration Corridor
EL-199,67,19,47.377,12.11,25.9,Home Range
EL-950,82,23,7.416,40.108,29.8,Main Waterhole
EL-482,21,1,10.76,37.078,37.2,Migration Corridor
EL-446,7,1,8.347,39.647,24.2,Main Waterhole
EL-109,25,3,22.907,8.257,19.2,Feeding Ground
EL-958,86,1,44.167,13.627,29.7,Home Range
EL-190,61,7,9.643,38.264,21.2,Migration Corridor
EL-546,7,14,39.571,11.632,24.1,Home Range
EL-109,17,10,8.073,39.765,21.9,Main Waterhole
EL-994,71,21,7.897,40.522,32.3,Main Waterhole
EL-375,2,16,7.844,40.219,15.0,Main Waterhole
EL-560,33,1,8.286,40.266,25.2,Main Waterhole
EL-855,70,19,3.472,41.135,25.4,Stray/Noise
EL-832,65,4,8.876,39.96,25.1,Main Waterhole
EL-655,65,2,8.497,40.156,28.7,Main Waterhole
EL-387,69,17,41.816,6.988,25.1,Stray/Noise
EL-880,39,2,25.215,7.106,27.1,Feeding Ground
EL-811,89,18,21.06,30.208,28.5,Migration Corridor
EL-536,25,21,10.625,37.15,28.3,Migration Corridor
EL-441,27,18,25.256,8.866,27.8,Feeding Ground
EL-169,49,5,26.65,29.267,16.8,Migration Corridor
EL-107,2,23,38.758,34.931,30.1,Migration Corridor
EL-958,39,1,26.954,28.8,34.1,Migration Corridor
EL-443,52,16,23.443,6.397,27.2,Feeding Ground
EL-319,27,10,45.054,11.046,26.8,Home Range
EL-291,33,16,13.751,35.271,16.8,Migration Corridor
EL-875,67,20,8.09,39.418,25.6,Main Waterhole
EL-590,71,18,7.775,39.958,24.0,Main Waterhole
EL-746,32,9,24.065,29.362,30.1,Migration Corridor
EL-235,11,8,45.936,9.299,29.3,Home Range
EL-887,79,1,7.785,39.789,17.3,Main Waterhole
EL-107,39,13,24.447,7.52,18.4,Feeding Ground
EL-295,21,21,45.819,11.4,21.8,Home Range
EL-595,26,20,7.795,39.925,34.7,Main Waterhole
EL-575,43,9,24.758,6.057,30.2,Feeding Ground
EL-414,48,9,25.943,7.856,24.6,Feeding Ground
EL-741,70,13,26.016,3.46,23.5,Stray/Noise
EL-561,33,1,24.305,9.21,26.5,Feeding Ground
EL-887,8,4,45.593,8.864,27.4,Home Range
EL-649,55,23,42.73,38.819,23.6,Secondary Waterhole
EL-834,84,5,41.446,37.791,35.8,Secondary Waterhole
EL-981,33,12,8.135,39.961,21.8,Main Waterhole
EL-541,88,2,8.487,39.949,30.4,Main Waterhole
EL-181,20,15,8.342,40.678,31.3,Main Waterhole
EL-825,72,3,7.857,39.798,19.2,Main Waterhole
EL-339,59,22,7.817,39.842,25.8,Main Waterhole
EL-337,18,7,44.231,14.622,30.1,Home Range
EL-880,23,6,8.009,39.671,35.9,Main Waterhole
EL-524,44,18,24.989,7.742,19.6,Feeding Ground
EL-197,76,3,42.401,38.435,26.4,Secondary Waterhole
EL-397,31,6,41.178,37.837,27.4,Secondary Waterhole
EL-419,1,9,8.291,39.675,32.7,Main Waterhole
EL-877,1,20,23.051,29.342,25.4,Migration Corridor
EL-536,3,13,42.18,37.619,25.4,Secondary Waterhole
