studio,primary_genre,genre_count,source_material,demographic,episodes,episode_length_min,animation_budget_tier,marketing_spend_tier,voice_cast_popularity,director_experience_years,studio_prior_hits,release_season,release_year,has_sequel_potential_arc,mal_rating,popularity_score,success_tier
Production I.G,Supernatural,3,Original,Shounen,24,24,Medium,High,2.35,10.1,4,Fall,2019,1,7.38,83.5,Hit
Silver Link,Sci-Fi,1,Manga,Shounen,13,24,Low,Low,4.01,4.5,6,Fall,2019,0,2.53,29.0,Flop
Kyoto Animation,Action,3,Manga,Seinen,12,24,High,Low,5.37,8.9,10,Winter,2017,1,10.0,100.0,Hit
Studio Deen,Romance,3,Light Novel,Shounen,24,12,Medium,High,2.33,6.8,2,Spring,2021,0,7.93,99.9,Hit
WIT Studio,Adventure,3,Manga,Shounen,12,24,Medium,High,5.78,10.6,10,Summer,2021,1,10.0,99.8,Hit
A-1 Pictures,Adventure,1,Visual Novel,Shounen,24,24,Medium,Low,4.38,7.5,7,Summer,2022,0,8.36,76.1,Hit
Lerche,Adventure,1,Light Novel,Seinen,13,24,High,Low,2.34,12.8,5,Summer,2023,0,7.51,62.2,Average
Zero-G,Drama,1,Game,Shounen,13,24,Low,Low,6.06,5.3,3,Summer,2020,0,3.31,15.6,Flop
ufotable,Action,3,Manga,Seinen,24,12,Medium,Medium,4.35,9.5,6,Summer,2015,1,8.56,100.0,Hit
Zero-G,Sci-Fi,3,Manga,Shounen,12,24,High,High,5.41,0.0,6,Winter,2021,0,9.93,97.5,Hit
WIT Studio,Romance,3,Original,Seinen,12,24,Low,High,7.82,8.9,8,Summer,2022,0,9.99,96.9,Hit
Toei Animation,Mystery,2,Original,Shounen,26,24,Medium,Medium,4.19,0.8,7,Fall,2018,0,7.88,64.9,Hit
CloverWorks,Mystery,2,Light Novel,Shoujo,12,24,High,Medium,6.45,8.0,7,Spring,2021,0,10.0,97.3,Hit
Pierrot,Horror,1,Manga,Seinen,12,24,High,Low,4.35,12.9,4,Fall,2020,0,8.75,95.6,Hit
A-1 Pictures,Isekai,1,Manga,Seinen,12,24,Medium,Low,7.2,5.4,3,Fall,2018,0,5.74,52.4,Average
Sunrise,Comedy,3,Original,Seinen,12,24,Low,Medium,4.15,12.3,10,Fall,2021,0,5.38,75.9,Average
WIT Studio,Sports,1,Manga,Shoujo,24,24,Medium,Medium,5.73,2.6,8,Spring,2020,1,8.43,86.9,Hit
Lerche,Sci-Fi,1,Manga,Josei,13,24,Medium,Medium,5.77,7.4,8,Winter,2021,1,6.09,52.6,Average
CloverWorks,Comedy,2,Manga,Shoujo,26,24,High,Medium,4.97,1.4,4,Spring,2015,1,7.64,50.6,Average
Zero-G,Psychological,2,Original,Seinen,12,24,Medium,Low,4.04,16.9,7,Winter,2024,1,6.8,83.5,Hit
Trigger,Action,1,Manga,Shounen,24,24,High,Medium,5.57,16.8,10,Spring,2019,1,9.08,100.0,Hit
Production I.G,Isekai,1,Game,Seinen,12,24,High,Low,8.89,6.6,5,Spring,2022,0,9.02,81.7,Hit
Trigger,Psychological,3,Light Novel,Seinen,13,24,Medium,Low,5.68,8.6,9,Winter,2021,0,9.36,100.0,Hit
J.C.Staff,Mystery,1,Manga,Shoujo,12,24,High,Medium,4.12,6.6,8,Winter,2017,0,9.0,87.3,Hit
Trigger,Drama,1,Light Novel,Seinen,13,24,Medium,High,4.25,1.9,9,Winter,2015,1,9.29,85.2,Hit
J.C.Staff,Mystery,3,Manga,Josei,13,24,Low,Medium,6.26,3.1,5,Spring,2023,1,5.95,97.4,Hit
Lerche,Action,2,Manga,Seinen,12,12,High,Low,4.73,12.9,10,Summer,2024,0,8.34,81.2,Hit
Trigger,Romance,3,Light Novel,Shounen,12,24,Medium,Low,3.14,8.1,9,Fall,2016,0,8.68,81.4,Hit
Trigger,Sci-Fi,1,Manga,Shounen,24,24,Medium,Low,9.47,6.9,7,Summer,2017,0,8.51,78.3,Hit
Madhouse,Drama,3,Light Novel,Shoujo,24,24,Medium,Low,5.68,9.5,5,Summer,2019,1,8.65,85.1,Hit
CloverWorks,Sports,2,Manga,Shounen,12,24,High,Medium,8.7,3.5,9,Fall,2023,0,8.0,80.7,Hit
J.C.Staff,Supernatural,3,Manga,Shoujo,24,24,High,Low,5.87,13.5,7,Fall,2015,0,6.17,57.6,Average
Silver Link,Comedy,2,Original,Shounen,12,12,Low,High,5.94,13.3,5,Winter,2023,0,7.25,74.4,Hit
ufotable,Sci-Fi,2,Visual Novel,Seinen,24,12,Low,Medium,7.22,14.7,10,Fall,2022,0,9.42,100.0,Hit
Sunrise,Action,1,Original,Shounen,12,12,Medium,High,3.43,10.5,5,Summer,2022,1,8.53,72.5,Hit
CloverWorks,Mecha,1,Web Novel,Seinen,12,24,Medium,High,5.66,5.9,3,Fall,2017,0,5.99,77.8,Average
Trigger,Romance,2,Light Novel,Shounen,24,24,Low,High,9.26,5.1,10,Winter,2015,0,9.3,96.0,Hit
Toei Animation,Slice of Life,2,Visual Novel,Seinen,13,24,Low,Low,2.5,6.0,12,Winter,2016,1,7.82,68.5,Hit
WIT Studio,Sci-Fi,3,Manga,Seinen,26,24,Low,Medium,6.36,3.4,12,Summer,2023,0,9.42,100.0,Hit
Studio Deen,Mecha,2,Manga,Shounen,26,24,Low,Medium,3.37,13.2,2,Fall,2020,1,4.0,23.7,Flop
J.C.Staff,Mystery,1,Light Novel,Shounen,12,24,Medium,Low,6.62,8.2,6,Summer,2016,1,6.22,56.5,Average
WIT Studio,Isekai,2,Game,Seinen,50,24,Medium,Low,4.57,10.3,6,Winter,2023,0,6.63,80.0,Average
Toei Animation,Sports,3,Original,Seinen,100,24,Medium,Low,5.48,6.7,8,Winter,2023,0,7.22,62.5,Average
Silver Link,Slice of Life,3,Light Novel,Shounen,12,24,Medium,Low,4.24,8.1,5,Winter,2022,0,5.58,60.2,Average
Zero-G,Mystery,2,Manga,Seinen,24,24,Medium,Low,4.67,9.7,5,Fall,2022,0,6.02,54.5,Average
MAPPA,Horror,2,Visual Novel,Seinen,12,12,Low,Low,6.46,11.0,8,Fall,2016,0,8.43,72.1,Hit
Silver Link,Fantasy,2,Manga,Shounen,24,12,Low,Low,5.96,10.0,5,Winter,2022,1,6.74,76.9,Average
Studio Deen,Drama,1,Manga,Shounen,12,12,High,Medium,4.75,5.6,7,Spring,2017,0,7.47,99.0,Hit
J.C.Staff,Sports,3,Original,Seinen,13,24,Medium,Low,7.28,13.7,7,Fall,2018,0,7.35,58.1,Average
J.C.Staff,Drama,3,Original,Shounen,50,12,High,Medium,7.3,5.3,4,Spring,2017,0,9.43,91.4,Hit
Madhouse,Supernatural,3,Manga,Shoujo,24,24,High,Low,6.7,14.8,10,Summer,2018,0,9.47,91.2,Hit
Madhouse,Supernatural,2,Visual Novel,Shoujo,26,24,Low,Low,5.44,4.7,11,Winter,2016,1,9.03,83.7,Hit
Studio Deen,Romance,1,Light Novel,Seinen,26,24,Medium,Low,3.03,10.6,4,Fall,2016,1,4.47,49.0,Flop
Production I.G,Supernatural,1,Manga,Shounen,24,24,Medium,Low,8.78,7.1,8,Fall,2018,1,9.82,87.6,Hit
Bones,Horror,2,Web Novel,Shounen,12,24,Medium,Medium,5.17,9.3,9,Fall,2020,1,8.2,85.6,Hit
ufotable,Mystery,3,Original,Seinen,24,24,Low,Medium,7.13,6.7,4,Winter,2021,0,10.0,100.0,Hit
Kyoto Animation,Psychological,2,Manga,Seinen,100,24,Medium,High,2.28,2.7,13,Fall,2022,1,10.0,91.6,Hit
Production I.G,Isekai,1,Original,Josei,12,24,Medium,Low,8.15,4.7,7,Fall,2020,0,10.0,100.0,Hit
Production I.G,Horror,3,Manga,Seinen,24,24,Low,Medium,6.02,3.5,4,Spring,2021,1,6.76,85.3,Hit
Madhouse,Supernatural,2,Original,Shoujo,26,24,Low,Low,5.74,3.2,15,Summer,2021,0,8.82,67.0,Hit
Sunrise,Sports,2,Manga,Seinen,24,24,Low,Medium,7.42,7.5,10,Spring,2019,0,7.37,79.2,Hit
A-1 Pictures,Isekai,3,Manga,Josei,26,24,Medium,Medium,6.03,10.5,4,Fall,2015,0,9.94,92.8,Hit
Pierrot,Action,1,Manga,Seinen,50,24,Low,Medium,4.67,5.5,4,Spring,2017,0,5.35,49.5,Flop
Kyoto Animation,Action,1,Original,Seinen,50,24,Medium,Low,7.56,11.6,9,Fall,2020,1,9.82,75.3,Hit
Toei Animation,Isekai,2,Original,Seinen,50,24,Low,Medium,6.0,7.4,5,Winter,2024,0,7.33,73.8,Hit
Sunrise,Sci-Fi,3,Manga,Shoujo,24,24,High,Medium,6.04,7.1,6,Fall,2017,0,9.87,100.0,Hit
Lerche,Mystery,1,Manga,Shounen,12,24,High,High,4.18,5.7,9,Winter,2021,0,7.61,61.5,Average
Studio Deen,Slice of Life,1,Manga,Shounen,12,24,Medium,Low,1.0,5.3,4,Spring,2018,1,5.79,92.4,Average
ufotable,Comedy,1,Manga,Seinen,13,24,Medium,Medium,5.21,9.7,9,Winter,2019,0,10.0,100.0,Hit
Silver Link,Sports,2,Light Novel,Josei,24,24,Low,High,6.28,13.2,1,Spring,2019,1,7.02,42.9,Average
A-1 Pictures,Slice of Life,1,Manga,Shounen,13,24,Low,Medium,3.89,8.4,4,Winter,2015,0,5.87,61.3,Average
Pierrot,Isekai,1,Manga,Shounen,13,24,Low,Low,6.19,15.5,10,Spring,2019,1,5.56,70.1,Average
Madhouse,Drama,1,Manga,Shounen,12,24,Low,Low,6.1,4.8,7,Fall,2016,0,6.1,70.1,Average
MAPPA,Slice of Life,3,Manga,Shounen,12,24,Medium,High,8.46,2.7,7,Winter,2016,0,10.0,93.0,Hit
Doga Kobo,Mecha,3,Web Novel,Josei,24,12,Low,Medium,3.41,8.0,5,Fall,2016,0,5.96,61.9,Average
Doga Kobo,Comedy,3,Web Novel,Shounen,12,24,Low,High,4.73,7.0,5,Fall,2018,0,6.22,68.3,Average
A-1 Pictures,Mecha,2,Web Novel,Seinen,12,12,High,High,6.43,2.4,2,Winter,2023,0,7.36,77.3,Hit
Madhouse,Supernatural,2,Light Novel,Shounen,12,24,Medium,High,7.63,0.0,8,Winter,2020,0,10.0,95.9,Hit
J.C.Staff,Mecha,3,Manga,Seinen,26,12,Low,Low,4.42,13.5,4,Winter,2024,1,4.11,49.6,Flop
Zero-G,Supernatural,3,Original,Shounen,13,24,Medium,Low,4.02,4.3,5,Winter,2018,0,5.35,54.1,Flop
Bones,Isekai,3,Manga,Shounen,13,24,Low,Low,5.74,9.0,5,Summer,2020,0,8.19,81.1,Hit
Studio Deen,Mecha,3,Light Novel,Shounen,12,24,Medium,Medium,4.06,13.3,8,Fall,2018,0,8.42,77.5,Hit
Trigger,Mystery,2,Manga,Seinen,12,24,Medium,Low,4.96,8.2,5,Spring,2017,1,7.17,76.4,Hit
Bones,Adventure,2,Light Novel,Shounen,24,12,Medium,Low,4.64,8.5,9,Fall,2021,1,8.95,100.0,Hit
WIT Studio,Sci-Fi,3,Manga,Shounen,24,24,Low,Low,6.61,8.1,12,Spring,2015,1,8.81,100.0,Hit
J.C.Staff,Romance,3,Light Novel,Shounen,13,12,Medium,Low,3.73,5.8,6,Winter,2017,1,6.59,51.4,Average
Diomedea,Mecha,1,Original,Seinen,26,24,High,Low,4.66,5.2,3,Winter,2023,1,5.01,44.3,Flop
Madhouse,Psychological,3,Manga,Shounen,12,24,Low,High,4.04,9.8,12,Spring,2020,0,10.0,89.6,Hit
Pierrot,Isekai,1,Web Novel,Shoujo,12,24,Low,High,6.58,6.1,1,Winter,2015,0,5.24,31.1,Flop
Pierrot,Action,3,Web Novel,Seinen,26,12,Low,Low,4.24,9.9,3,Winter,2024,0,5.91,72.0,Average
Zero-G,Mecha,1,Manga,Seinen,12,24,Low,Medium,3.96,7.8,5,Fall,2024,0,6.32,56.9,Average
Madhouse,Mecha,3,Manga,Shounen,12,24,Low,Medium,8.68,4.1,7,Summer,2022,1,7.96,67.6,Hit
Doga Kobo,Romance,2,Web Novel,Seinen,12,24,Medium,Medium,4.06,9.3,1,Spring,2017,0,5.03,48.3,Flop
Trigger,Romance,2,Web Novel,Shounen,12,24,Low,Medium,6.69,4.8,8,Winter,2023,1,9.42,100.0,Hit
Bones,Isekai,2,Original,Shounen,24,24,Low,Low,6.35,4.4,14,Fall,2024,1,7.85,67.5,Hit
Studio Deen,Psychological,3,Light Novel,Seinen,12,24,Medium,Medium,1.97,1.7,5,Spring,2022,0,6.45,60.6,Average
Trigger,Isekai,2,Visual Novel,Shoujo,12,24,Medium,Medium,5.53,11.5,5,Winter,2017,0,8.19,80.1,Hit
WIT Studio,Psychological,2,Web Novel,Shounen,12,12,High,Medium,4.41,17.8,7,Fall,2017,0,10.0,89.0,Hit
Pierrot,Action,1,Light Novel,Shounen,24,24,High,Medium,1.97,5.2,3,Fall,2016,1,5.3,52.6,Flop
A-1 Pictures,Romance,1,Light Novel,Shounen,24,24,Low,High,6.77,5.5,4,Summer,2021,0,6.27,54.4,Average
Zero-G,Mystery,3,Manga,Shoujo,12,24,Medium,Low,2.62,7.6,6,Spring,2024,0,4.6,40.0,Flop
J.C.Staff,Sports,3,Manga,Seinen,12,24,Medium,Medium,6.45,10.9,4,Winter,2015,1,5.57,67.1,Average
Madhouse,Comedy,1,Manga,Josei,24,24,Medium,Low,3.04,2.7,7,Fall,2021,0,8.81,92.4,Hit
WIT Studio,Slice of Life,2,Light Novel,Shounen,13,24,Low,Medium,4.54,11.1,11,Spring,2016,1,8.6,100.0,Hit
Doga Kobo,Mecha,2,Manga,Shoujo,13,24,Medium,Low,6.0,6.5,4,Spring,2018,1,7.19,48.4,Average
Bones,Sci-Fi,1,Visual Novel,Shounen,12,24,Medium,High,7.7,3.8,12,Spring,2023,0,9.12,86.6,Hit
Lerche,Horror,3,Original,Seinen,12,24,Low,High,2.94,5.9,9,Summer,2024,1,4.48,53.4,Flop
Madhouse,Fantasy,3,Original,Shoujo,25,24,Medium,Medium,5.51,7.7,7,Summer,2024,1,9.92,84.5,Hit
Madhouse,Drama,2,Original,Shoujo,24,24,Low,Low,8.71,13.4,13,Spring,2017,0,9.95,98.5,Hit
Zero-G,Comedy,2,Game,Seinen,26,24,Medium,Low,1.65,5.1,4,Winter,2018,1,2.35,25.1,Flop
Bones,Isekai,3,Manga,Shounen,26,24,Low,Medium,6.72,16.5,6,Summer,2017,0,10.0,99.8,Hit
WIT Studio,Fantasy,3,Light Novel,Shoujo,50,24,High,High,5.77,8.9,8,Spring,2020,1,8.91,100.0,Hit
Lerche,Horror,3,Original,Josei,12,24,Low,High,3.96,6.3,5,Fall,2019,1,7.2,58.0,Average
ufotable,Sports,3,Light Novel,Shounen,12,24,Medium,Medium,5.96,1.0,8,Fall,2022,1,8.46,84.0,Hit
Production I.G,Sports,3,Light Novel,Shounen,12,12,High,Medium,6.75,6.7,5,Fall,2023,0,8.91,82.9,Hit
Toei Animation,Action,2,Light Novel,Shounen,12,24,Low,High,6.11,7.2,3,Spring,2019,1,5.09,48.1,Flop
Zero-G,Slice of Life,1,Manga,Seinen,12,24,Medium,High,5.5,4.0,3,Winter,2016,1,5.87,49.1,Flop
Diomedea,Horror,1,Manga,Seinen,13,24,Low,Low,4.79,10.6,5,Winter,2020,0,3.62,47.1,Flop
ufotable,Mecha,3,Light Novel,Shounen,100,24,Medium,Low,5.7,9.0,7,Summer,2021,0,9.34,98.0,Hit
A-1 Pictures,Drama,3,Web Novel,Shounen,24,24,Low,Low,6.06,2.2,7,Winter,2015,0,5.71,54.2,Average
Madhouse,Comedy,2,Manga,Seinen,12,24,Low,High,5.21,13.7,9,Summer,2017,0,5.56,45.0,Flop
WIT Studio,Isekai,1,Web Novel,Shounen,100,24,Medium,Low,3.85,8.3,8,Spring,2018,0,6.95,68.9,Average
MAPPA,Fantasy,2,Light Novel,Shounen,50,24,High,Low,7.7,5.8,8,Fall,2023,0,9.25,100.0,Hit
Diomedea,Isekai,3,Manga,Seinen,24,24,Low,Medium,1.75,3.3,7,Fall,2015,0,4.1,25.6,Flop
Production I.G,Action,3,Visual Novel,Josei,13,24,Medium,High,4.01,0.0,8,Fall,2015,1,9.34,87.7,Hit
Diomedea,Psychological,3,Visual Novel,Shoujo,25,24,Medium,Medium,4.79,9.0,4,Summer,2015,1,4.77,51.5,Flop
Toei Animation,Isekai,3,Manga,Shounen,12,24,Low,Medium,4.83,10.5,3,Fall,2017,0,8.54,84.6,Hit
Diomedea,Sci-Fi,1,Manga,Shounen,12,24,Medium,Medium,1.74,3.9,4,Summer,2024,1,3.4,28.1,Flop
Sunrise,Sci-Fi,2,Light Novel,Shounen,12,24,Low,Medium,4.99,9.3,3,Winter,2017,0,8.25,79.6,Hit
Studio Deen,Adventure,3,Web Novel,Shounen,12,12,Medium,Low,2.43,7.1,4,Fall,2022,1,3.88,36.1,Flop
Doga Kobo,Adventure,1,Manga,Shoujo,12,24,Low,High,5.73,3.9,9,Spring,2020,1,5.92,58.8,Average
WIT Studio,Slice of Life,3,Web Novel,Shoujo,24,24,Medium,Medium,5.33,4.6,7,Spring,2017,1,7.49,98.8,Hit
Zero-G,Sci-Fi,2,Manga,Shoujo,13,24,Medium,High,1.0,5.1,3,Winter,2021,1,4.29,47.0,Flop
Sunrise,Psychological,3,Manga,Seinen,12,24,Medium,Low,5.96,11.5,6,Spring,2016,1,8.63,83.3,Hit
J.C.Staff,Supernatural,3,Web Novel,Shounen,12,12,Medium,Low,4.69,3.0,4,Spring,2020,1,7.44,42.5,Average
Sunrise,Psychological,1,Manga,Josei,12,24,Low,High,4.09,14.6,4,Winter,2017,0,8.73,100.0,Hit
WIT Studio,Action,3,Manga,Shounen,12,24,Medium,Low,5.12,8.8,5,Fall,2023,0,9.62,89.5,Hit
Kyoto Animation,Supernatural,2,Web Novel,Shounen,24,24,Medium,Low,4.55,6.9,10,Fall,2020,1,8.11,70.8,Hit
Doga Kobo,Comedy,3,Light Novel,Shounen,12,12,Medium,High,6.14,4.5,6,Winter,2018,0,6.66,47.1,Average
Lerche,Isekai,2,Light Novel,Shounen,50,24,Low,Medium,3.85,3.9,8,Fall,2023,0,6.9,73.2,Average
CloverWorks,Action,3,Manga,Shounen,12,24,Medium,High,7.57,4.4,8,Summer,2024,1,8.7,95.4,Hit
Madhouse,Drama,3,Web Novel,Shounen,13,24,Low,Medium,6.84,15.2,11,Winter,2018,0,6.24,80.1,Average
Sunrise,Action,2,Light Novel,Shounen,12,24,High,Low,9.14,9.8,7,Summer,2018,1,7.06,62.5,Average
CloverWorks,Action,3,Manga,Shounen,13,12,High,Medium,3.7,8.7,10,Summer,2019,1,10.0,100.0,Hit
Doga Kobo,Drama,3,Visual Novel,Shounen,12,24,Low,Medium,4.67,11.3,4,Fall,2016,0,6.77,39.4,Average
Bones,Supernatural,1,Light Novel,Shounen,24,12,Low,Medium,3.51,11.2,12,Fall,2019,0,7.04,61.8,Average
Kyoto Animation,Sci-Fi,3,Original,Seinen,50,24,High,Medium,6.11,7.4,7,Fall,2016,0,9.76,100.0,Hit
A-1 Pictures,Mystery,1,Manga,Shounen,12,24,High,High,2.99,9.9,5,Winter,2015,0,10.0,82.4,Hit
MAPPA,Fantasy,2,Visual Novel,Shounen,13,24,Medium,Medium,4.35,4.3,8,Summer,2020,1,9.33,80.6,Hit
Madhouse,Slice of Life,3,Light Novel,Seinen,12,24,Medium,Medium,8.15,3.1,9,Summer,2017,1,9.07,97.9,Hit
J.C.Staff,Supernatural,3,Manga,Shounen,13,24,Medium,Low,3.26,14.2,4,Spring,2023,1,8.13,62.4,Hit
Doga Kobo,Sci-Fi,3,Web Novel,Shounen,12,24,Low,Low,4.68,10.3,5,Summer,2018,0,5.16,59.2,Flop
A-1 Pictures,Supernatural,1,Light Novel,Shounen,12,24,High,High,9.28,9.4,8,Winter,2021,0,9.73,97.3,Hit
A-1 Pictures,Action,3,Light Novel,Shoujo,100,24,Low,Low,7.55,9.3,9,Summer,2020,0,5.55,53.6,Flop
WIT Studio,Sports,3,Manga,Josei,12,24,Medium,Medium,2.84,6.0,5,Fall,2022,0,10.0,100.0,Hit
Studio Deen,Mystery,3,Visual Novel,Seinen,100,12,High,Medium,5.02,8.1,8,Winter,2015,0,9.88,88.3,Hit
Production I.G,Psychological,1,Original,Josei,12,24,Low,Low,3.7,12.3,5,Summer,2018,1,10.0,85.1,Hit
Pierrot,Drama,1,Manga,Shounen,26,24,High,High,6.38,8.1,4,Spring,2020,0,8.78,91.3,Hit
Pierrot,Mecha,1,Manga,Shounen,13,12,High,Low,5.99,12.1,5,Spring,2019,0,5.77,68.2,Average
Trigger,Comedy,2,Web Novel,Seinen,12,24,High,Low,5.86,9.3,5,Summer,2022,1,7.0,74.7,Average
Pierrot,Sports,3,Web Novel,Seinen,24,24,Medium,Low,5.8,11.9,3,Spring,2018,1,5.04,55.8,Flop
Trigger,Mecha,1,Visual Novel,Seinen,26,24,Medium,High,6.02,9.3,10,Spring,2022,0,9.84,88.3,Hit
Zero-G,Drama,3,Web Novel,Shounen,13,24,Medium,Medium,4.66,6.7,3,Summer,2017,0,3.97,53.8,Flop
MAPPA,Isekai,2,Web Novel,Seinen,26,12,High,Low,5.85,5.7,7,Winter,2018,0,7.65,71.6,Hit
ufotable,Action,3,Manga,Josei,12,24,Low,Medium,6.67,9.4,3,Fall,2023,0,9.52,73.4,Hit
Toei Animation,Sports,1,Visual Novel,Seinen,24,24,High,Low,7.27,4.4,8,Winter,2024,1,9.93,94.8,Hit
Bones,Sports,3,Web Novel,Shounen,50,24,Medium,Medium,6.77,17.2,12,Winter,2020,1,8.5,98.4,Hit
Trigger,Drama,3,Manga,Shoujo,50,24,Medium,Medium,4.47,6.6,3,Spring,2019,1,7.25,68.5,Average
Lerche,Fantasy,1,Light Novel,Shounen,26,24,Medium,High,3.86,10.4,4,Winter,2016,0,6.41,70.0,Average
WIT Studio,Sci-Fi,3,Manga,Shoujo,12,24,Low,High,7.09,10.8,4,Spring,2021,0,7.93,88.9,Hit
Sunrise,Action,1,Visual Novel,Shounen,24,24,Medium,Low,5.62,2.2,8,Fall,2020,0,7.51,73.7,Hit
Doga Kobo,Isekai,3,Light Novel,Shounen,24,24,Medium,Medium,4.38,8.3,7,Fall,2017,0,7.34,75.6,Hit
Bones,Sci-Fi,3,Visual Novel,Shounen,26,24,Medium,Low,3.94,4.3,7,Fall,2024,0,7.38,81.2,Hit
Studio Deen,Sports,1,Light Novel,Josei,24,24,High,High,5.23,17.8,5,Winter,2024,1,7.66,73.7,Hit
Production I.G,Sports,1,Light Novel,Shounen,12,24,Medium,High,7.04,12.9,9,Fall,2019,0,9.9,95.5,Hit
Zero-G,Supernatural,1,Light Novel,Shounen,24,24,High,Low,3.23,9.4,4,Summer,2018,0,3.36,33.0,Flop
Pierrot,Psychological,2,Manga,Josei,12,12,Medium,High,4.55,12.2,1,Fall,2024,1,5.01,25.9,Flop
Trigger,Action,3,Manga,Seinen,26,24,Medium,High,6.31,9.7,14,Winter,2015,1,9.63,100.0,Hit
Studio Deen,Fantasy,2,Light Novel,Shounen,12,12,High,High,1.58,1.5,3,Winter,2023,1,6.07,69.0,Average
A-1 Pictures,Mecha,3,Original,Seinen,13,24,High,Low,7.29,11.2,11,Winter,2018,1,10.0,83.9,Hit
Studio Deen,Sports,2,Manga,Shounen,25,24,Low,Low,3.47,8.3,5,Summer,2016,0,5.48,57.9,Average
CloverWorks,Adventure,2,Manga,Shounen,12,24,High,Low,3.07,7.0,6,Fall,2023,0,6.5,72.5,Average
A-1 Pictures,Romance,1,Manga,Seinen,25,12,Low,Medium,4.19,6.7,3,Fall,2023,1,8.45,100.0,Hit
Trigger,Comedy,3,Light Novel,Seinen,13,24,High,Medium,7.8,11.8,17,Fall,2024,0,9.55,100.0,Hit
